City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,vila velha,-20.3297,-40.2925,296.45,90,0,3.13,BR,1721345589
254,faya-largeau,17.9257,19.1043,307.75,38,74,3.84,TD,1721345653
255,floro,61.5996,5.0328,289.13,77,100,3.09,NO,1721345654
256,korfovskiy,48.2183,135.0564,295.85,86,91,2.75,RU,1721345655
257,berezovyy,51.6667,135.7,292.18,99,100,1.18,RU,1721345254
258,bulgan,48.8125,103.5347,291.17,76,81,1.42,MN,1721345657
259,sinabang,2.4803,96.3801,300.37,81,100,2.35,ID,1721345658
260,balaipungut,1.05,101.2833,297.56,97,28,1.15,ID,1721345659
261,walvis bay,-22.9575,14.5053,283.76,71,2,3.98,NA,1721345660
262,igarka,67.4667,86.5833,286.36,67,30,4.79,RU,1721345662
263,aroma,15.8167,36.1333,299.91,75,92,11.99,SD,1721345663
264,alta,69.9689,23.2717,288.74,88,47,1.54,NO,1721345664
265,lihue,21.9789,-159.3672,301.92,63,40,6.17,US,1721345090
266,itamaraca,-7.7478,-34.8256,298.18,82,53,4.39,BR,1721345667
267,tateyama,34.9833,139.8667,300.01,86,100,7.87,JP,1721345668
268,arauca,7.0847,-70.7591,302.15,61,94,1.03,CO,1721345669
269,gisors,49.2818,1.7801,294.75,77,99,1.99,FR,1721345671
270,mitu,1.1983,-70.1733,294.5,97,100,0.47,CO,1721345672
271,jaciara,-15.9653,-54.9683,296.34,36,0,0.89,BR,1721345673
272,el bayadh,33.6832,1.0193,299.74,29,93,2.99,DZ,1721345674
273,ola,59.5833,151.2833,286.86,80,89,4.04,RU,1721345676
274,barra de santo antonio,-9.4047,-35.5072,297.75,80,72,4.37,BR,1721345677
275,eldoret,0.5204,35.2699,289.2,88,75,2.06,KE,1721345678
276,preobrazheniye,42.9019,133.9064,295.8,94,96,0.66,RU,1721345680
277,itapecuru mirim,-3.3925,-44.3586,297.07,85,48,2.38,BR,1721345681
278,birnin kudu,11.4459,9.4984,297.15,83,89,4.18,NG,1721345682
279,marsabit,2.3284,37.9899,290.42,71,89,7.41,KE,1721345683
280,tshikapa,-6.4167,20.8,295.26,26,18,1.1,CD,1721345684
281,aral,40.5156,81.2636,296.46,48,55,2.61,CN,1721345685
282,ulladulla,-35.35,150.4667,283.89,53,33,3.74,AU,1721345686
283,kabwe,-14.4469,28.4464,286.58,46,0,2.28,ZM,1721345687
284,noyemberyan,41.1724,44.9992,292.21,74,100,1.13,AM,1721345689
285,port saint john's,-31.6229,29.5448,291.94,65,86,4.84,ZA,1721345093
286,oeiras,-7.0253,-42.1311,300.99,37,62,4.2,BR,1721345691
287,lata,40.1629,-8.3327,293.1,81,6,1.16,PT,1721345692
288,mana,5.6592,-53.7767,298.88,86,29,3.45,GF,1721345693
289,nagqu,31.5,92.0,279.89,94,100,1.17,CN,1721345172
290,sen monorom,12.45,107.2,293.98,100,100,1.81,KH,1721345695
291,benguela,-12.5763,13.4055,292.35,89,85,1.5,AO,1721345696
292,novodvinsk,64.4165,40.8122,289.01,98,100,1.77,RU,1721345698
293,happy valley-goose bay,53.3168,-60.3315,288.32,100,100,2.57,CA,1721345411
294,san patricio,28.017,-97.5169,306.55,51,86,6.47,US,1721345700
295,northam,51.0333,-4.2167,288.49,92,23,1.98,GB,1721345701
296,egilsstadir,65.2653,-14.3948,285.1,66,40,8.75,IS,1721345702
297,huancavelica,-12.7667,-74.9833,273.46,37,0,2.05,PE,1721345703
298,birjand,32.8663,59.2211,296.41,31,0,5.14,IR,1721345704
299,whitby,54.4877,-0.615,292.21,77,100,0.45,GB,1721345705
300,seminole,28.7086,-81.2081,304.49,73,20,5.14,US,1721345706
301,tame,6.461,-71.73,295.65,89,99,1.22,CO,1721345708
302,sechura,-5.5569,-80.8222,292.65,72,17,6.85,PE,1721345709
303,bischofsheim an der rhon,50.4024,10.0075,289.09,87,73,1.44,DE,1721345710
304,persembe,41.0656,37.7714,296.83,93,11,2.93,TR,1721345711
305,valparaiso,-33.0393,-71.6273,287.12,72,75,6.69,CL,1721344974
306,nioki,-2.7167,17.6833,298.05,48,6,1.46,CD,1721345713
307,ormara,25.2088,64.6357,301.36,90,98,4.31,PK,1721345714
308,talne,48.8885,30.6974,294.15,90,98,3.82,UA,1721345715
309,yamethin,20.4333,96.15,298.0,92,100,3.09,MM,1721345717
310,mishelevka,52.8575,103.1719,294.38,69,38,2.48,RU,1721345718
311,okhotsk,59.3833,143.3,285.44,79,100,2.54,RU,1721345719
312,nuku'alofa,-21.1333,-175.2,299.34,69,40,6.17,TO,1721345528
313,chuarrancho,14.8217,-90.5086,299.03,86,30,1.2,GT,1721345721
314,aykhal,66.0,111.5,286.37,78,100,2.48,RU,1721345722
315,alaghsas,17.0187,8.0168,305.99,39,63,8.07,NE,1721345723
316,mili,6.0815,171.735,300.4,76,98,2.53,MH,1721345725
317,arroyo,41.6096,-4.7969,296.81,43,18,1.03,ES,1721345726
318,okha,53.5739,142.9478,286.73,86,100,8.34,RU,1721345727
319,la ronge,55.1001,-105.2842,304.29,30,40,3.6,CA,1721345728
320,utrik,11.2278,169.8474,300.99,78,100,5.59,MH,1721345730
321,praia da vitoria,38.7333,-27.0667,294.29,83,40,2.7,PT,1721345164
322,lautoka,-17.6167,177.4667,303.07,51,20,4.12,FJ,1721345733
323,villa sandino,12.0483,-84.9936,301.8,91,100,3.39,NI,1721345734
324,udachny,66.4167,112.4,289.81,62,94,4.84,RU,1721345208
325,chibougamau,49.9168,-74.3659,291.94,55,0,4.12,CA,1721345538
326,jiwani,25.05,61.7417,301.59,88,94,3.47,PK,1721345737
327,konosha,60.9736,40.257,288.52,80,77,1.63,RU,1721345738
328,tirano,46.2154,10.1679,296.73,91,0,1.39,IT,1721345739
329,cabedelo,-6.9811,-34.8339,297.52,84,27,5.77,BR,1721345741
330,visby,57.6409,18.296,290.27,82,24,3.6,SE,1721345743
331,badger,64.8,-147.5333,290.93,53,75,3.6,US,1721345221
332,holualoa,19.6228,-155.9522,301.06,73,40,4.63,US,1721345745
333,hazard,37.2495,-83.1932,301.28,57,73,2.99,US,1721345746
334,howrah,22.5892,88.3103,301.15,94,20,3.6,IN,1721345747
335,coihueco,-36.6167,-71.8333,281.56,66,0,8.23,CL,1721345748
336,flin flon,54.7682,-101.865,303.06,51,100,2.06,CA,1721345749
337,akureyri,65.6835,-18.0878,287.11,62,75,5.14,IS,1721345750
338,suva,-18.1416,178.4415,300.86,69,40,1.54,FJ,1721345752
339,letlhakane,-21.4167,25.5833,288.15,22,0,1.7,BW,1721345753
340,koh kong,11.6175,102.9806,298.16,92,100,3.37,KH,1721345754
341,malango,-2.9627,119.9001,293.86,91,33,0.85,ID,1721345756
342,lensk,60.7253,114.9278,290.53,94,94,3.02,RU,1721345757
343,choibalsan,48.0667,114.5,294.19,51,40,3.64,MN,1721345758
344,christchurch,-43.5333,172.6333,285.32,88,100,6.17,NZ,1721345761
345,prince rupert,54.3161,-130.3201,289.98,94,100,3.6,CA,1721345762
346,fort st. john,56.2499,-120.8529,307.09,15,40,6.17,CA,1721345763
347,klyuchi,52.2667,79.1667,290.51,91,79,3.45,RU,1721345248
348,tolanaro,-25.0319,46.9987,294.19,94,75,1.03,MG,1721345765
349,prado,-17.3411,-39.2208,295.65,76,16,2.99,BR,1721345767
350,masterton,-40.9597,175.6575,285.31,85,89,3.29,NZ,1721345768
351,monroe,43.1501,-77.6831,295.16,62,20,4.12,US,1721345769
352,wenzhou,27.9994,120.6668,304.39,70,69,1.27,CN,1721345505
353,lobujya,27.95,86.8167,277.82,94,100,1.4,NP,1721345233
354,tamanrasset,22.785,5.5228,304.1,9,0,5.14,DZ,1721345772
355,luanda,-8.8368,13.2343,292.69,92,0,3.86,AO,1721345773
356,bago,17.3367,96.4797,297.92,96,100,1.87,MM,1721345774
357,sittwe,20.15,92.9,300.84,87,96,7.36,MM,1721345775
358,ongjin,37.9347,125.3619,298.09,86,74,3.46,KP,1721345777
359,manokwari,-0.8667,134.0833,298.95,85,96,4.43,ID,1721345778
360,collinsville,38.6703,-89.9846,299.11,58,40,4.63,US,1721345657
361,boden,65.8252,21.6886,289.15,96,98,2.06,SE,1721345780
362,charters towers,-20.1,146.2667,287.85,31,35,4.81,AU,1721345781
363,tweed heads,-28.1817,153.547,289.24,63,13,1.54,AU,1721345782
364,castillos,-34.1667,-53.8333,282.15,95,8,1.75,UY,1721345783
